Variavel;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5;Cluster 6;Cluster 7
pessoas;-0,427562664014229;-0,285996716545042;-0,282595544005688;7,86689795754855;3,0914942582809;0,697994032127784;-0,42677511871952
mortos;-0,68573300215856;-0,359971283835811;-0,260372229462663;5,88021293200702;2,55419359738203;1,06438264806897;-0,677800338221245
feridos_leves;-0,476054867161094;-0,284234321950337;-0,297589411366267;7,53923790769286;2,92170265205333;0,831168786770144;-0,4754002437416
feridos_graves;-0,521293539190262;-0,30777527333294;-0,28365615572999;7,18002347287795;2,83928427044717;0,869674323094895;-0,518083343900638
ilesos;-0,390350837203871;-0,274542730555146;-0,272754920590978;7,79225558722229;3,10361786206111;0,625092370478853;-0,389968332281861
feridos;-0,494516928955469;-0,294394914880147;-0,298637178298876;7,56423518980308;2,94550645026187;0,853340446810828;-0,493217121699652
freq;-0,431001565082467;-0,28001186978848;-0,29116018811479;7,73690894197653;3,14351428337807;0,720659032968283;-0,430292072828575
share_tracado_via_tipo_1;-0,40729418725329;-1,23922322261806;0,490627442424275;0,364727107653416;0,127516861612936;-0,00554116755308668;0,10918455244106
share_is_night;2,66755691877029;-0,427961872073542;-0,0972124616032968;-0,236849293495692;-0,176311720485615;-0,103279690144707;2,6111570464453
share_is_weekend;-2,21457001624614;0,0119647904396217;-0,0354054144660196;-0,218148950940433;-0,129054276727988;-0,0169432115914872;2,37921843157108
share_is_single_lane;-0,0995627891085972;0,202088119137109;0,228328475871421;-1,79929646995402;-1,46022504250575;-0,830954919841804;0,0929046124483187
