municipio,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,freq,share_tracado_via_tipo,share_is_night,share_is_weekend,share_is_single_lane
curitiba,53273,581,10382,2872,36629,2808,13254,46614,23714,0.834781141941469,0.375221388209497,0.438306485620309,0.106477186472126
sao jose,44027,191,8828,1928,31326,1752,10756,40653,20102,0.784648293702119,0.369018008158392,0.414784598547408,0.043378768281763
guarulhos,40350,430,8282,1040,27409,3188,9322,36372,18109,0.942238665856756,0.410293224363576,0.42205533160307,0.0552211607487989
betim,39527,329,6840,1718,29551,1085,8558,35159,17601,0.784103175955912,0.361911255042327,0.489233566274644,0.0488040452247032
duque de caxias,37859,407,6388,1273,28066,1723,7661,32465,17531,0.842393474416748,0.380811134561634,0.4301523016371,0.195710455764075
serra,38865,386,5287,3124,27859,2208,8411,35009,17338,0.632137501441919,0.313184911754528,0.412331295420464,0.207059637789826
brasilia,36378,621,10589,2646,20608,1912,13235,27033,14992,0.875800426894344,0.394143543223052,0.494730522945571,0.125
cariacica,28936,182,4060,2257,20983,1452,6317,26351,13508,0.694181225940184,0.305596683446846,0.391693811074919,0.143840687000296
porto velho,31975,378,7503,2165,20390,1539,9668,24067,13101,0.669109228303183,0.371956339210747,0.42935653766888,0.233951606747577
palhoca,28018,229,6486,1926,18441,936,8412,24828,13075,0.779273422562142,0.403365200764818,0.490554493307839,0.372695984703633
recife,29322,237,4155,1109,22245,1572,5264,26406,12691,0.85651248916555,0.262784650539753,0.379245134347175,0.0892758647860689
feira de santana,27427,466,5075,1946,18166,1774,7021,23591,12533,0.795739248384266,0.347402856458948,0.454799329769409,0.620362243676694
teresina,25851,377,4083,2336,17703,1351,6419,23581,11967,0.706108464945266,0.371270995236902,0.456004011030333,0.535305423247263
ananindeua,25905,174,3258,1165,20163,1145,4423,23689,11418,0.95691014188124,0.297425118234367,0.41557190401121,0.0615694517428621
sao jose dos pinhais,22301,361,4322,1347,15197,1074,5669,18889,10670,0.860824742268041,0.423617619493908,0.481443298969072,0.0663542642924086
canoas,23395,104,2615,504,19617,555,3119,21701,10576,0.889750378214826,0.322995461422088,0.372825264750378,0.0974848714069591
uberlandia,21626,224,4639,1988,14016,759,6627,18459,10556,0.71551724137931,0.354395604395604,0.441834028040925,0.321049640015157
fortaleza,23216,334,3509,1863,16017,1492,5372,20623,10489,0.811993517017828,0.294785012870626,0.392792449232529,0.169701592144151
joao pessoa,23328,172,4633,1370,15818,1335,6003,20874,10302,0.790720248495438,0.322558726460881,0.41720054358377,0.0248495437779072
natal,22306,138,2546,1063,17518,1039,3609,20866,10065,0.726676602086438,0.318032786885246,0.411028315946349,0.127372081470442
sao jose dos campos,23387,204,3339,639,17757,1448,3978,21494,9805,0.965731769505354,0.420907700152983,0.437735849056604,0.0694543600203978
contagem,21267,170,3362,1313,15747,674,4675,18950,9672,0.854631927212573,0.315653432588916,0.406224152191894,0.0258478081058726
campos dos goytacazes,19919,631,5084,1337,12049,817,6421,15852,8855,0.728514963297572,0.441897233201581,0.481648785996612,0.911688311688312
barra do turvo,12519,127,1989,371,9846,186,2360,10418,8695,0.177228292121909,0.348936170212766,0.46877515813686,0.325474410580794
petropolis,15026,199,2990,722,10686,429,3712,11761,8658,0.261838761838762,0.352968352968353,0.491683991683992,0.624162624162624
campina grande do sul,14340,156,3598,723,9530,332,4321,11014,8655,0.348700173310225,0.375505488157135,0.492894280762565,0.0972848064702484
niteroi,18442,56,1974,251,15572,588,2225,17133,8044,0.92864246643461,0.403654898060666,0.442938836399801,0.0716061660865241
sao paulo,15791,243,3372,588,10549,1039,3960,13925,7878,0.686214775323686,0.380680375729881,0.43983244478294,0.0333841076415334
cascavel,17310,324,4524,1461,10446,555,5985,13859,7819,0.680138125079934,0.412584729505052,0.44890650978386,0.672464509528073
goiania,17413,188,2821,1457,12158,787,4278,15023,7798,0.807258271351629,0.365863041805591,0.423313670171839,0.157091561938959
rio de janeiro,17834,155,2654,495,13679,851,3149,15832,7752,0.880417956656347,0.379514963880289,0.421052631578947,0.172729618163055
caxias do sul,15710,89,2046,484,12754,337,2530,14266,7555,0.562011912640635,0.348378557246856,0.444341495698213,0.309728656518862
sao leopoldo,16370,98,2134,410,13352,374,2544,15091,7528,0.769128586609989,0.359059511158342,0.413257173219979,0.0541976620616366
porto alegre,15750,144,2488,458,12206,452,2946,14043,7501,0.808158912145047,0.364884682042394,0.407012398346887,0.127449673376883
nova iguacu,17394,242,2493,594,12672,1392,3087,15374,7496,0.967315901814301,0.429562433297759,0.471851654215582,0.178228388473853
blumenau,16670,122,3296,755,12031,465,4051,15247,7405,0.537204591492235,0.323160027008778,0.429439567859554,0.995003376097232
maringa,16125,114,3925,994,10362,730,4919,13945,7256,0.739112458654906,0.396637265711136,0.459481808158765,0.0363836824696803
joinville,14412,140,3125,594,10096,456,3719,12503,7206,0.663891201776298,0.368859283930058,0.451706910907577,0.112961421038024
linhares,15834,198,3600,1319,10101,616,4919,13784,7189,0.688551954374739,0.351231047433579,0.448184726665739,0.543886493253582
itajai,16184,144,3028,679,11697,635,3707,14695,7147,0.779068140478523,0.383517559815307,0.469007975374283,0.178116692318455
guaratuba,12525,151,2045,480,9588,261,2525,10471,6962,0.350474001723643,0.32548118356794,0.481327204826199,0.104136742315427
santa maria,15371,190,3347,901,10458,475,4248,13050,6918,0.729690662041052,0.39953743856606,0.442902572997976,0.9479618386817
pirai,11747,131,1539,300,9403,374,1839,10474,6895,0.339231327048586,0.382596084118927,0.440464104423495,0.413197969543147
caucaia,15111,382,3265,2165,8296,1003,5430,12342,6793,0.832769026939497,0.401737082290593,0.496834977182394,0.518769321360224
salvador,15000,197,2569,498,10868,868,3067,12909,6456,0.898389095415118,0.311648079306072,0.405359355638166,0.0684634448574969
miracatu,12206,257,1653,810,8957,529,2463,10567,6444,0.676132836747362,0.462135319677219,0.423805090006207,0.441806331471136
anapolis,13309,217,3078,1504,7892,618,4582,10536,6356,0.735840151038389,0.400251730648206,0.486469477658905,0.219005663939585
sao goncalo,13634,244,2471,628,9689,602,3099,11761,6193,0.957209752946875,0.404811884385597,0.439851445180042,0.0481188438559664
barra mansa,11961,145,1974,451,8878,513,2425,10504,6080,0.600986842105263,0.4125,0.442269736842105,0.204605263157895
cajati,9232,149,1598,360,6906,218,1958,7592,6016,0.306682180851064,0.403922872340426,0.445811170212766,0.459275265957447
balneario camboriu,12049,131,3119,592,7766,441,3711,10652,5937,0.709112346302847,0.401718039413845,0.500252652854977,0.225871652349672
biguacu,11083,120,3071,824,6664,404,3895,9495,5762,0.662790697674419,0.423984727525165,0.511975008677543,0.0413051023950017
parnamirim,12675,167,2112,744,8985,666,2856,11447,5746,0.632788026453185,0.313435433344936,0.436651583710407,0.0821441002436478
