pessoas;mortos;feridos_leves;feridos_graves;ilesos;feridos;freq;share_tracado_via_tipo_1;share_is_night;share_is_weekend;share_is_single_lane
53273;581;10382;2872;36629;13254;23714;0.834781141941469;0.375221388209497;0.438306485620309;0.106477186472126
44027;191;8828;1928;31326;10756;20102;0.784648293702119;0.369018008158392;0.414784598547408;0.043378768281763
40350;430;8282;1040;27409;9322;18109;0.942238665856756;0.410293224363576;0.42205533160307;0.0552211607487989
39527;329;6840;1718;29551;8558;17601;0.784103175955912;0.361911255042327;0.489233566274644;0.0488040452247032
37859;407;6388;1273;28066;7661;17531;0.842393474416748;0.380811134561634;0.4301523016371;0.195710455764075
38865;386;5287;3124;27859;8411;17338;0.632137501441919;0.313184911754528;0.412331295420464;0.207059637789826
36378;621;10589;2646;20608;13235;14992;0.875800426894344;0.394143543223052;0.494730522945571;0.125
28936;182;4060;2257;20983;6317;13508;0.694181225940184;0.305596683446846;0.391693811074919;0.143840687000296
31975;378;7503;2165;20390;9668;13101;0.669109228303183;0.371956339210747;0.42935653766888;0.233951606747577
28018;229;6486;1926;18441;8412;13075;0.779273422562142;0.403365200764818;0.490554493307839;0.372695984703633
29322;237;4155;1109;22245;5264;12691;0.85651248916555;0.262784650539753;0.379245134347175;0.0892758647860689
27427;466;5075;1946;18166;7021;12533;0.795739248384266;0.347402856458948;0.454799329769409;0.620362243676694
25851;377;4083;2336;17703;6419;11967;0.706108464945266;0.371270995236902;0.456004011030333;0.535305423247263
25905;174;3258;1165;20163;4423;11418;0.95691014188124;0.297425118234367;0.41557190401121;0.0615694517428621
22301;361;4322;1347;15197;5669;10670;0.860824742268041;0.423617619493908;0.481443298969072;0.0663542642924086
23395;104;2615;504;19617;3119;10576;0.889750378214826;0.322995461422088;0.372825264750378;0.0974848714069591
21626;224;4639;1988;14016;6627;10556;0.71551724137931;0.354395604395604;0.441834028040925;0.321049640015157
23216;334;3509;1863;16017;5372;10489;0.811993517017828;0.294785012870626;0.392792449232529;0.169701592144151
23328;172;4633;1370;15818;6003;10302;0.790720248495438;0.322558726460881;0.41720054358377;0.0248495437779072
22306;138;2546;1063;17518;3609;10065;0.726676602086438;0.318032786885246;0.411028315946349;0.127372081470442
23387;204;3339;639;17757;3978;9805;0.965731769505354;0.420907700152983;0.437735849056604;0.0694543600203978
21267;170;3362;1313;15747;4675;9672;0.854631927212573;0.315653432588916;0.406224152191894;0.0258478081058726
19919;631;5084;1337;12049;6421;8855;0.728514963297572;0.441897233201581;0.481648785996612;0.911688311688312
12519;127;1989;371;9846;2360;8695;0.177228292121909;0.348936170212766;0.46877515813686;0.325474410580794
15026;199;2990;722;10686;3712;8658;0.261838761838762;0.352968352968353;0.491683991683992;0.624162624162624
14340;156;3598;723;9530;4321;8655;0.348700173310225;0.375505488157135;0.492894280762565;0.0972848064702484
18442;56;1974;251;15572;2225;8044;0.92864246643461;0.403654898060666;0.442938836399801;0.0716061660865241
15791;243;3372;588;10549;3960;7878;0.686214775323686;0.380680375729881;0.43983244478294;0.0333841076415334
17310;324;4524;1461;10446;5985;7819;0.680138125079934;0.412584729505052;0.44890650978386;0.672464509528073
17413;188;2821;1457;12158;4278;7798;0.807258271351629;0.365863041805591;0.423313670171839;0.157091561938959
17834;155;2654;495;13679;3149;7752;0.880417956656347;0.379514963880289;0.421052631578947;0.172729618163055
15710;89;2046;484;12754;2530;7555;0.562011912640635;0.348378557246856;0.444341495698213;0.309728656518862
16370;98;2134;410;13352;2544;7528;0.769128586609989;0.359059511158342;0.413257173219979;0.0541976620616366
15750;144;2488;458;12206;2946;7501;0.808158912145047;0.364884682042394;0.407012398346887;0.127449673376883
17394;242;2493;594;12672;3087;7496;0.967315901814301;0.429562433297759;0.471851654215582;0.178228388473853
16670;122;3296;755;12031;4051;7405;0.537204591492235;0.323160027008778;0.429439567859554;0.995003376097232
16125;114;3925;994;10362;4919;7256;0.739112458654906;0.396637265711136;0.459481808158765;0.0363836824696803
14412;140;3125;594;10096;3719;7206;0.663891201776298;0.368859283930058;0.451706910907577;0.112961421038024
15834;198;3600;1319;10101;4919;7189;0.688551954374739;0.351231047433579;0.448184726665739;0.543886493253582
16184;144;3028;679;11697;3707;7147;0.779068140478523;0.383517559815307;0.469007975374283;0.178116692318455
12525;151;2045;480;9588;2525;6962;0.350474001723643;0.32548118356794;0.481327204826199;0.104136742315427
15371;190;3347;901;10458;4248;6918;0.729690662041052;0.39953743856606;0.442902572997976;0.9479618386817
11747;131;1539;300;9403;1839;6895;0.339231327048586;0.382596084118927;0.440464104423495;0.413197969543147
15111;382;3265;2165;8296;5430;6793;0.832769026939497;0.401737082290593;0.496834977182394;0.518769321360224
15000;197;2569;498;10868;3067;6456;0.898389095415118;0.311648079306072;0.405359355638166;0.0684634448574969
12206;257;1653;810;8957;2463;6444;0.676132836747362;0.462135319677219;0.423805090006207;0.441806331471136
13309;217;3078;1504;7892;4582;6356;0.735840151038389;0.400251730648206;0.486469477658905;0.219005663939585
13634;244;2471;628;9689;3099;6193;0.957209752946875;0.404811884385597;0.439851445180042;0.0481188438559664
11961;145;1974;451;8878;2425;6080;0.600986842105263;0.4125;0.442269736842105;0.204605263157895
9232;149;1598;360;6906;1958;6016;0.306682180851064;0.403922872340426;0.445811170212766;0.459275265957447
12049;131;3119;592;7766;3711;5937;0.709112346302847;0.401718039413845;0.500252652854977;0.225871652349672
11083;120;3071;824;6664;3895;5762;0.662790697674419;0.423984727525165;0.511975008677543;0.0413051023950017
12675;167;2112;744;8985;2856;5746;0.632788026453185;0.313435433344936;0.436651583710407;0.0821441002436478
12435;289;3389;1157;6604;4546;5721;0.73588533473169;0.40115364446775;0.460758608634854;0.678552700576822
12846;145;2332;1205;8552;3537;5720;0.822902097902098;0.351398601398601;0.448776223776224;0.0472027972027972
12546;214;1915;660;9227;2575;5694;0.861784334387074;0.385844748858448;0.489813839128908;0.230944854232525
12379;193;1884;707;8812;2591;5660;0.785865724381626;0.315547703180212;0.380565371024735;0.22773851590106
13172;105;2049;1447;8807;3496;5597;0.774522065392174;0.383955690548508;0.468286582097552;0.656065749508665
12582;142;3169;1001;7707;4170;5560;0.630935251798561;0.418884892086331;0.460071942446043;0.183273381294964
10208;254;3303;927;5330;4230;5438;0.791099668995955;0.425340198602427;0.477197499080544;0.205222508275101
12183;345;3029;651;7627;3680;5359;0.833551035640978;0.362007837283075;0.492815823847733;0.801268893450271
11417;173;1498;1117;8042;2615;5183;0.862820760177504;0.26509743391858;0.418290565309666;0.140459193517268
11248;294;2590;854;7075;3444;5088;0.76061320754717;0.431014150943396;0.466784591194969;0.218160377358491
11216;134;2574;525;7588;3099;5074;0.729996058336618;0.383918013401656;0.425699645250296;0.659046117461569
11033;147;1850;946;7663;2796;5067;0.676139727649497;0.303927373199132;0.447207420564437;0.397276494967436
10900;184;2404;890;7149;3294;5041;0.762150366990676;0.387621503669907;0.539575481055346;0.495139853203729
11316;240;2326;1020;7032;3346;4991;0.736525746343418;0.379883790823482;0.450611099979964;0.779202564616309
11214;223;2817;944;6946;3761;4922;0.558309630231613;0.378098334010565;0.494920763917107;0.91873222267371
10801;296;2226;869;6806;3095;4804;0.746253122398002;0.329933388842631;0.436303080766028;0.467527060782681
8757;96;1751;319;6386;2070;4681;0.355479598376415;0.357615894039735;0.509506515701773;0.0903653065584277
10979;228;2177;1290;7080;3467;4656;0.501503436426117;0.324527491408935;0.50622852233677;0.970790378006873
10980;284;2164;735;7132;2899;4649;0.831361583136158;0.315551731555173;0.411486341148634;0.655624865562487
10125;39;1043;328;8400;1371;4645;0.7502691065662;0.411625403659849;0.43702906350915;0.606889128094726
9477;234;2775;855;5293;3630;4538;0.519171441163508;0.376156897311591;0.505288673424416;0.99559277214632
10521;94;1376;227;8186;1603;4527;0.972608791694279;0.42588910978573;0.458802739120831;0.0673735365584272
10161;119;2753;864;6034;3617;4478;0.726440375167486;0.442831621259491;0.512058954890576;0.986601161232693
8830;134;1557;326;6429;1883;4425;0.548022598870056;0.370169491525424;0.474350282485876;0.0280225988700565
10081;59;1900;418;7302;2318;4394;0.849112426035503;0.291306326809285;0.361629494765589;0.0316340464269458
10737;74;2126;582;7430;2708;4392;0.96379781420765;0.430100182149362;0.50591985428051;0.0414389799635701
9521;200;2852;987;5266;3839;4380;0.648173515981735;0.389269406392694;0.481506849315069;0.841552511415525
9264;206;2041;460;6149;2501;4363;0.847123538849415;0.43868897547559;0.516158606463443;0.0336924134769654
10013;296;2222;1098;5989;3320;4231;0.782320964311038;0.410304892460411;0.467029071141574;0.936421649728197
10487;75;1652;637;7648;2289;4071;0.854581183984279;0.397936624907885;0.432326209776468;0.037337263571604
9739;183;2135;1003;5863;3138;4008;0.885728542914172;0.352794411177645;0.457335329341317;0.907684630738523
7938;142;1767;564;5104;2331;3998;0.777388694347174;0.427713856928464;0.43871935967984;0.308404202101051
8149;128;1762;409;5464;2171;3970;0.847607052896725;0.353652392947103;0.490428211586902;0.350377833753149
8678;117;1975;500;5823;2475;3956;0.536147623862487;0.373356926188069;0.488877654196158;0.974216380182002
8861;90;1554;278;6272;1832;3920;0.971683673469388;0.401785714285714;0.525510204081633;0.0420918367346939
8427;101;1801;429;5837;2230;3895;0.667522464698331;0.34788189987163;0.418741976893453;0.962259306803594
7912;96;1493;378;5669;1871;3858;0.499740798341109;0.378952825298082;0.450233281493002;0.970969414204251
8769;117;2039;821;5489;2860;3798;0.845181674565561;0.369141653501843;0.537388098999473;0.0102685624012638
7193;188;2355;680;3795;3035;3764;0.460148777895855;0.414718384697131;0.497343251859724;0.558714133900106
8057;166;1758;520;5460;2278;3725;0.84510067114094;0.355973154362416;0.459597315436242;0.635436241610738
7572;77;1937;399;4958;2336;3720;0.64005376344086;0.373655913978495;0.451344086021505;0.569086021505376
7272;129;1114;294;5419;1408;3689;0.768500948766604;0.4573055028463;0.440769856329629;0.285172133369477
7770;140;2535;586;4255;3121;3665;0.373260572987722;0.354706684856753;0.451841746248295;0.987175989085948
7575;189;1424;577;4857;2001;3605;0.778363384188627;0.319556171983356;0.436615811373093;0.381414701803051
8212;93;2180;722;5024;2902;3585;0.748675034867504;0.328033472803347;0.42370990237099;0.703486750348675
7229;142;1452;394;4995;1846;3552;0.806869369369369;0.434966216216216;0.443975225225225;0.713400900900901
8491;116;2342;819;4865;3161;3539;0.7468211359141;0.369878496750495;0.462842610907036;0.504944899689178
7862;59;2081;676;4900;2757;3536;0.745475113122172;0.431843891402715;0.459558823529412;0.990950226244344
7846;62;1050;538;5980;1588;3517;0.741256752914416;0.277793574068809;0.407733864088712;0.24680125106625
7537;122;1672;446;4903;2118;3494;0.817973669147109;0.367200915855753;0.433314253005152;0.221522610188895
7378;198;1926;662;4346;2588;3482;0.672314761631246;0.357553130384836;0.460367604824813;0.869327972429638
8248;88;1796;526;5305;2322;3470;0.904322766570605;0.46685878962536;0.467435158501441;0.0426512968299712
7613;150;1213;519;5287;1732;3452;0.887891077636153;0.331691772885284;0.461181923522596;0.232039397450753
7394;147;1682;576;4700;2258;3416;0.737997658079625;0.353922716627635;0.450234192037471;0.598653395784543
7744;105;1470;401;5345;1871;3392;0.818396226415094;0.408608490566038;0.480542452830189;0.130896226415094
7149;122;1283;359;5184;1642;3377;0.617411904056855;0.418714835652946;0.438554930411608;0.938406870002961
7854;294;2037;814;4200;2851;3342;0.91083183722322;0.480251346499102;0.539198084979054;0.21573907839617
7470;131;1841;761;4240;2602;3336;0.769484412470024;0.447242206235012;0.498501199040767;0.293465227817746
8029;151;1722;622;5204;2344;3310;0.594864048338369;0.341389728096677;0.449244712990937;0.949546827794562
6598;90;1657;521;4087;2178;3299;0.619884813579873;0.446195816914216;0.466505001515611;0.214307365868445
6719;214;1777;755;3597;2532;3290;0.738601823708207;0.359878419452888;0.48145896656535;0.303039513677812
7679;100;1166;491;5527;1657;3282;0.960694698354662;0.297684338817794;0.465874466788544;0.0411334552102377
6164;100;1291;367;4216;1658;3273;0.47632141765964;0.364497402994195;0.498319584479071;0.0256645279560037
6817;122;1178;457;4673;1635;3261;0.875191659000307;0.428702851885925;0.450475314320761;0.502606562404171
6756;71;891;181;5271;1072;3228;0.925340768277571;0.402416356877323;0.425030978934325;0.109355638166047
6878;137;1611;743;4149;2354;3198;0.660100062539087;0.355847404627892;0.532833020637899;0.236710444027517
6524;133;1636;473;4034;2109;3138;0.716061185468451;0.402804333970682;0.453473550031868;0.644996813256852
6570;113;1870;616;3865;2486;3138;0.353728489483748;0.376991714467814;0.478011472275335;0.989483747609943
7562;35;1159;347;5619;1506;3133;0.910309607405043;0.274178104053623;0.44047239067986;0.036386849664858
6597;175;1828;538;3878;2366;3092;0.503557567917206;0.330853816300129;0.492238033635188;0.98738680465718
7173;99;1755;449;4642;2204;3079;0.765508281909711;0.408574212406626;0.460863916856122;0.57940889899318
6197;160;1452;612;3671;2064;3068;0.633637548891786;0.366036505867014;0.479139504563233;0.651238591916558
6917;193;1495;526;4400;2021;3017;0.822340072920119;0.434869075240305;0.533311236327478;0.455419290686112
4751;88;1352;243;2986;1595;2979;0.359852299429339;0.345417925478348;0.469956361195032;0.00604229607250755
