municipio;mortos;feridos_leves;feridos_graves;freq;share_tracado_via_tipo_1;share_is_night;share_is_weekend;share_is_single_lane;cluster
curitiba;9.51000663270212;13.2436832732662;10.9173366645515;12.9098985566157;0.578720538568715;-0.177010258902178;-0.233528932341314;-2.25170348978415;1
sao jose;2.65958470397779;11.2514253481689;7.15682490205999;10.8777164631752;0.370859530797342;-0.209025573419562;-0.357133302300742;-2.45093654546153;1
guarulhos;6.85766378337552;9.95472896203655;3.619394345818;9.75641554616893;1.02426133663005;0.00399362219567646;-0.31892657272573;-2.41354422873783;1
betim;5.08358015568025;10.1581095289854;6.32027037862439;9.47060477555217;0.368599361505949;-0.245703148279367;0.0340860637958015;-2.43380625068968;1
duque de caxias;6.45366454142511;9.59532644587126;4.54757150753465;9.43122140164828;0.610282820692559;-0.148161875269099;-0.27637807835813;-1.96994972449195;1
serra;6.08479566833996;9.21529532934402;11.9212020926742;9.322635813599;-0.261481301382486;-0.497177214480267;-0.370025082045521;-1.93411471817519;1
brasilia;10.2126140100072;8.64902572222507;10.017044653616;8.00273016819166;0.748794855265392;-0.0793540232508164;0.0629718357535705;-2.19321776470992;1
cariacica;2.50149804408415;6.86101999507781;8.46742698877577;7.16780264142931;-0.00423537275447491;-0.53633965719678;-0.478472301529772;-2.13372835515285;1
porto velho;5.94427419287895;7.68906944622661;8.1009364356516;6.93881645315958;-0.108188985579089;-0.193861003133306;-0.280559711558877;-1.84920341132642;1
palhoca;3.3270617124176;6.82731692969772;7.14885771612251;6.92418834285242;0.348574219448924;-0.0317615391310246;0.041027358650012;-1.41111847717093;1
recife;3.46758318787861;7.25528775129146;3.89426226066113;6.70814240600825;0.668823133830429;-0.757290282075074;-0.543888432429155;-2.30601660855146;1
feira de santana;7.49001042295008;6.33746030701811;7.22852957549733;6.61924850491091;0.416844889665665;-0.320580221739942;-0.146861242645738;-0.629113048532105;1
teresina;5.92670900844632;5.91471927143162;8.78213083330631;6.30080579591664;0.0452173913831189;-0.197398026932345;-0.140530803774191;-0.897679689762824;1
ananindeua;2.36097656862314;6.38975816709067;4.11734346691063;5.99192762058475;1.08509226682941;-0.578512670654215;-0.352996117409187;-2.39349952002167;1
sao jose dos pinhais;5.6456660575243;5.25605677818449;4.84235738722148;5.57108813944038;0.686702614193674;0.072760116806223;-0.00685074876249457;-2.37839148954437;1
canoas;1.13141365833928;6.04430174694473;1.48418851457284;5.51820189448373;0.806634196967925;-0.446545489419442;-0.57762398835094;-2.2800966961343;1
uberlandia;3.23923579025447;5.00502704983622;7.39584048018445;5.50694950193977;0.0842280963432425;-0.284491021547708;-0.214992168813199;-1.57419164702138;1
fortaleza;5.17140607784338;5.25809058385398;6.89789135909183;5.46925398691748;0.484238400655269;-0.592138114022648;-0.472699104980367;-2.05207262903229;1
joao pessoa;2.32584619975789;5.5268434758935;4.93398002550253;5.36404411663139;0.396035093064535;-0.448799455326511;-0.344437834324443;-2.50944251317212;1
natal;1.72862992904859;5.4144030767375;3.71101698409905;5.23070326498538;0.130497080534873;-0.472157588764558;-0.376872064877677;-2.1857279249766;1
sao jose dos campos;2.88793210160194;5.71424414115349;2.02197356535287;5.0844221619138;1.12166853314042;0.0587743672145946;-0.236527551147448;-2.36860294709761;1
contagem;2.29071583089263;5.13693387468589;4.70691522628429;5.00959375149642;0.661025940643717;-0.484437309742113;-0.402117302736821;-2.50629049671691;1
campos dos goytacazes;10.3882658543335;4.56281958855606;4.80252145753407;4.54993351607537;0.138119300843795;0.167100230951445;-0.00577094192152152;0.290748088926541;1
barra do turvo;1.53541290028969;3.0235192404205;0.954370649730288;4.45991437572363;-2.1476276109296;-0.31266687100568;-0.0734201341723428;-1.56022044796844;1
petropolis;2.8001061794388;3.55841013149592;2.35261178175837;4.43909744951729;-1.79681535666893;-0.291856990255476;0.0469627215195767;-0.61711335917913;1
campina grande do sul;2.04480324883586;3.39919220194169;2.35659537472711;4.4374095906357;-1.43667023906657;-0.175544034182255;0.0533226287226911;-2.28072840053859;1
niteroi;0.288284805573213;4.68281412305586;0.47633949348137;4.0936489984175;0.96788872240604;-0.0302664267946851;-0.209186548681551;-2.36180862625606;1
sao paulo;3.57297429447437;3.62959332992801;1.81881032394708;4.00025414030258;-0.0372659008744871;-0.148836714645376;-0.225510221074813;-2.48249465479168;1
cascavel;4.99575423351712;3.93437363668418;5.29648698565796;3.96705958229787;-0.0624609314362861;0.0158199583572805;-0.177827223365766;-0.464600309053155;1
goiania;2.60688915067991;3.93698852968781;5.28055261378299;3.95524457012671;0.464605106901004;-0.225308186969686;-0.312314171879391;-2.091888759484;1
rio de janeiro;2.02723806440324;4.33038465490025;1.44833617785417;3.92936406727558;0.767940074885906;-0.154851343218766;-0.324195627217655;-2.04251164646381;1
caxias do sul;0.867935891849887;3.88498121328232;1.40451665519802;3.81852800071751;-0.552236286800502;-0.315544681866132;-0.201815761707248;-1.60993761657065;1
sao leopoldo;1.02602255174353;4.08429416889217;1.10973077551119;3.80333727078315;0.306511661689945;-0.260420846794799;-0.365159718067122;-2.41677592260232;1
porto alegre;1.83402103564435;3.85418358457293;1.30094323801075;3.7881465408488;0.468339347215181;-0.230357449673545;-0.397975174638898;-2.18548292877766;1
nova iguacu;3.55540911004174;3.99102965176278;1.84271188175953;3.78533344271281;1.12823666859941;0.103440984673359;-0.0572535588327654;-2.02514929661562;1
blumenau;1.44758697812656;4.03809772582808;2.48407034972682;3.73413505663776;-0.655092496952294;-0.445696175178946;-0.280123399014136;0.553815141036595;1
maringa;1.30706550266555;3.73593231207554;3.43614906925592;3.6503047321852;0.182058676765766;-0.0664840541182849;-0.122255445101893;-2.47302350676794;1
joinville;1.76376029791384;3.42621276297918;1.84271188175953;3.62217375082528;-0.129823987190761;-0.209844740720256;-0.16311149008051;-2.2312295396703;1
linhares;2.78254099500618;3.56567372317266;4.73081678409674;3.61260921716291;-0.0275754801233138;-0.300823131721961;-0.18162009709593;-0.870584988384058;1
itajai;1.83402103564435;3.86319043825209;2.18131728410251;3.58897919282058;0.347723078085985;-0.134194158475945;-0.0721967107344962;-2.02550197687268;1
guaratuba;1.95697732667273;2.96482941967241;1.38858228332305;3.48489456178889;-1.4293155848912;-0.433716809627673;-0.00746080795295507;-2.25909343479949;1
santa maria;2.64201951954516;3.59589026454791;3.06567492316301;3.46013929819216;0.142993987486145;-0.0515164162595287;-0.209377108007054;0.405281635572439;1
pirai;1.6056736380202;2.76406374572721;0.671535548949678;3.4471990467666;-1.47593000577641;-0.138949845536337;-0.222190934163112;-1.28323358826245;2
caucaia;6.01453493060945;2.94391027564339;8.1009364356516;3.38981184479236;0.570377899625381;-0.0401641719851236;0.0740304612475527;-0.949892379120705;1
salvador;2.76497581057355;3.48897019506625;1.46028695676039;3.20020903042652;0.842452079377709;-0.505108725010414;-0.406661692939671;-2.3717317585874;1
miracatu;3.81888687653114;2.66760324826005;2.70316796300758;3.19345759490014;-0.0790676732924142;0.271547918890887;-0.309731826388812;-1.19290277604396;1
