municipio;cluster;uf;pessoas;mortos;feridos_leves;feridos_graves;ilesos;feridos;freq
abadia de goias;3;uf;1502;26;391;184;850;575;786
abadiania;5;uf;3271;117;902;520;1637;1422;1656
abare;4;uf;339;32;74;55;149;129;142
abatia;4;uf;4;0;2;0;1;2;2
abel figueiredo;4;uf;71;12;17;18;16;35;23
abre campo;3;uf;1029;31;281;171;513;452;446
abreu e lima;3;uf;5814;52;589;268;4623;857;2621
abreulandia;4;uf;1;0;0;0;1;0;1
acailandia;5;uf;5515;285;1494;789;2487;2283;2283
acarape;4;uf;17;0;2;0;14;2;4
acarau;4;uf;15;3;1;4;4;5;5
acari;4;uf;398;24;101;60;193;161;207
acaua;4;uf;81;11;20;13;33;33;45
acegua;4;uf;160;6;24;9;108;33;78
acrelandia;4;uf;247;7;70;22;145;92;104
acreuna;3;uf;1808;76;494;154;1010;648;822
acu;4;uf;122;6;39;16;53;55;47
adrianopolis;4;uf;228;9;66;44;99;110;111
afonso claudio;4;uf;1;0;1;0;0;1;1
afranio;4;uf;173;14;41;30;76;71;87
agrestina;3;uf;1012;57;260;157;463;417;406
agricolandia;4;uf;9;0;3;0;5;3;7
agronomica;3;uf;1402;57;382;109;809;491;609
agua boa;3;uf;1431;43;422;136;802;558;637
agua boa;3;uf;1431;43;422;136;802;558;637
agua branca;4;uf;420;41;107;59;188;166;184
agua branca;4;uf;420;41;107;59;188;166;184
agua clara;3;uf;1838;32;414;139;1224;553;777
agua doce;4;uf;1080;38;294;91;644;385;534
agua fria de goias;4;uf;4;0;4;0;0;4;2
agua preta;4;uf;121;7;36;6;66;42;67
agua santa;4;uf;64;2;17;6;38;23;30
aguas belas;4;uf;444;41;97;54;227;151;186
aguas lindas de goias;5;uf;4994;139;1341;543;2591;1884;2093
aguas mornas;3;uf;3143;77;906;331;1771;1237;1520
aguas vermelhas;4;uf;85;1;23;6;49;29;31
aguiarnopolis;4;uf;661;14;129;66;414;195;288
aimores;4;uf;124;10;46;22;44;68;61
aiquara;4;uf;1;0;1;0;0;1;1
aiuruoca;4;uf;365;27;133;44;159;177;204
alagoinha do piaui;4;uf;20;3;2;2;12;4;11
alagoinhas;5;uf;3802;172;1048;347;2029;1395;1723
alcantil;4;uf;278;17;67;48;133;115;145
alcinopolis;4;uf;99;4;30;13;48;43;47
alcobaca;4;uf;2;0;0;1;1;1;1
alegre;4;uf;32;1;12;6;13;18;11
alegrete;3;uf;1648;35;381;107;1040;488;618
alegrete do piaui;4;uf;154;5;27;22;90;49;84
alem paraiba;3;uf;1554;66;412;150;881;562;790
alexania;5;uf;3578;110;943;397;1906;1340;1931
alfredo chaves;4;uf;26;0;2;1;19;3;15
alfredo vasconcelos;3;uf;982;43;333;118;468;451;450
alfredo wagner;3;uf;2289;70;816;251;1103;1067;1201
